facility_type,monthly_energy_kwh,renewable_energy_pct,peak_load_factor,facility_area_sqm,operational_days_year,equipment_efficiency_rating,logistics_distance_km,fuel_consumed_liters,waste_recycled_pct,water_usage_m3,annual_carbon_footprint_mt,energy_intensity_kwh_sqm,eco_composite_score,sustainability_tier
Data Center,859339.5,50.5,0.71,20572.5,360,3.22,1170.5,1147.9,61.7,7151.8,2524.74,501.3,47.8,Moderate (Tier C)
Healthcare,1095510.0,14.3,0.83,28328.3,365,3.84,12691.1,3040.5,72.5,39274.0,5159.72,464.1,35.2,Moderate (Tier C)
Logistics Hub,572152.9,29.9,0.47,57555.1,280,3.2,19563.9,10802.2,48.4,5833.5,3492.26,119.3,52.2,Moderate (Tier C)
Commercial Office,380694.8,54.2,0.56,24484.7,260,4.15,3499.3,2444.1,33.0,8495.0,1782.2,186.6,53.3,Moderate (Tier C)
Manufacturing,2568186.5,38.8,0.66,65862.0,350,2.09,27692.5,5078.8,72.4,76836.9,9514.39,467.9,31.5,High Risk (Tier D)
Manufacturing,746073.8,60.6,0.79,45764.7,350,1.81,30519.4,8182.1,62.0,38176.2,2565.29,195.6,43.2,Moderate (Tier C)
Manufacturing,551590.1,34.7,0.87,21360.3,250,2.44,36221.0,5297.7,63.4,22222.2,2484.71,309.9,40.2,Moderate (Tier C)
Healthcare,410598.5,23.0,0.76,11534.8,365,3.97,4184.2,4631.7,25.3,15561.3,1906.55,427.2,31.9,High Risk (Tier D)
Commercial Office,45219.0,25.6,0.66,2661.9,260,3.97,2426.6,1616.8,42.8,312.9,269.77,203.8,47.5,Moderate (Tier C)
Logistics Hub,741794.3,17.3,0.55,53808.0,280,3.94,46159.6,17877.6,73.5,4072.1,4190.64,165.4,51.3,Moderate (Tier C)
Manufacturing,1105388.8,29.8,0.62,47595.1,250,4.21,12674.7,5880.5,24.5,23987.5,5446.08,278.7,41.4,Moderate (Tier C)
Healthcare,590089.6,42.0,0.85,27205.2,365,3.27,9020.2,5376.4,37.8,30360.1,2886.79,260.3,44.3,Moderate (Tier C)
Logistics Hub,502160.2,50.6,0.75,36645.1,320,3.23,59796.6,10248.9,35.3,4277.0,2419.31,164.4,56.9,Efficient (Tier B)
Manufacturing,2468819.8,29.3,0.83,72508.3,350,3.25,8867.1,7404.5,63.2,71097.8,9676.4,408.6,35.5,Moderate (Tier C)
Manufacturing,2641888.0,63.9,0.67,61704.2,350,2.21,44699.3,13124.0,53.9,48497.2,6817.69,513.8,46.9,Moderate (Tier C)
Manufacturing,893108.0,13.2,0.83,50533.1,250,3.44,25273.5,3911.6,34.8,18030.1,5544.22,212.1,38.8,Moderate (Tier C)
Data Center,584569.5,61.1,0.79,15250.2,365,4.11,1874.9,914.6,68.4,7142.0,1377.78,460.0,55.6,Efficient (Tier B)
Commercial Office,414965.2,62.1,0.8,27743.0,240,3.4,4258.6,1053.2,68.8,7266.4,1336.9,179.5,63.2,Efficient (Tier B)
Data Center,1053960.6,69.1,0.74,20974.4,365,3.61,864.1,925.4,59.0,6378.6,2106.89,603.0,42.7,Moderate (Tier C)
Data Center,1625483.6,86.4,0.91,34268.3,365,3.96,1911.8,1291.5,85.6,9715.7,1483.5,569.2,65.1,Efficient (Tier B)
Commercial Office,232402.3,87.2,0.74,10890.9,240,3.35,1011.3,161.9,60.7,1530.7,334.1,256.1,62.5,Efficient (Tier B)
Manufacturing,2035972.2,6.2,0.69,72778.4,300,4.17,16110.1,12217.4,59.2,21855.3,11024.34,335.7,43.4,Moderate (Tier C)
Data Center,614258.5,69.1,0.84,15943.9,360,3.92,761.7,1990.8,94.1,3741.5,1047.01,462.3,60.2,Efficient (Tier B)
Data Center,365003.1,63.8,0.73,12175.4,360,3.53,1299.9,1444.9,52.6,6950.1,1020.49,359.7,50.6,Moderate (Tier C)
Commercial Office,94431.6,48.7,0.51,8514.1,260,3.71,3695.6,413.7,37.7,3116.0,509.66,133.1,54.7,Moderate (Tier C)
Logistics Hub,403970.7,39.3,0.69,38904.4,280,3.27,58372.0,7480.1,77.4,2986.3,1945.24,124.6,53.3,Moderate (Tier C)
Manufacturing,1694922.1,61.1,0.66,47839.6,250,2.38,5484.8,4894.4,82.4,56368.8,4161.66,425.2,44.8,Moderate (Tier C)
Commercial Office,149337.7,79.8,0.64,15659.9,240,3.65,2495.1,458.2,40.8,2163.6,578.65,114.4,69.4,Efficient (Tier B)
Commercial Office,391788.8,74.0,0.66,20247.9,240,3.56,6387.6,2241.0,45.5,7827.8,1043.28,232.2,53.0,Moderate (Tier C)
Manufacturing,1539415.6,39.7,0.68,54728.8,300,4.31,15122.3,11374.0,45.1,57061.2,6406.5,337.5,47.7,Moderate (Tier C)
Commercial Office,163230.5,66.0,0.76,14603.5,240,3.69,1626.3,1869.8,27.7,3704.4,798.7,134.1,56.0,Efficient (Tier B)
Manufacturing,566009.3,25.8,0.62,15511.5,350,1.83,43260.1,10850.1,42.7,9585.0,2690.59,437.9,26.7,High Risk (Tier D)
Manufacturing,2102747.9,34.7,0.66,60352.5,350,2.91,26984.6,11966.4,25.4,21838.0,9471.64,418.1,30.3,High Risk (Tier D)
